,alpha,p,rsquare,fund_size,return_gap,fund_flow,sharp,treynor,beta,vol
re001397OF,0.0014637043306584604,0.6344093556590183,169.0,248.0,153.0,378.0,367.0,85.0,306.0,295.0
re001410OF,0.02818681574452827,0.004236755588520358,380.0,11.0,359.0,361.0,10.0,379.0,54.0,46.0
re001455OF,0.00018258182922381225,0.9420925643867801,77.0,92.0,321.0,81.0,435.0,216.0,152.0,357.0
re001469OF,0.0046487331153235315,0.07585720082988873,108.0,59.0,402.0,200.0,313.0,209.0,250.0,352.0
re001473OF,0.005501076620941334,0.2719616468088326,230.0,140.0,198.0,309.0,67.0,203.0,167.0,216.0
re001482OF,0.006873445759101052,0.14855373351096163,206.0,335.0,99.0,415.0,65.0,120.0,259.0,225.0
re001539OF,0.003777785305989487,0.163525699727589,119.0,233.0,381.0,384.0,327.0,232.0,252.0,343.0
re001541OF,0.004038819429371409,0.3891620886359841,236.0,348.0,331.0,87.0,167.0,265.0,233.0,233.0
re001542OF,0.0012351584930780576,0.8813252074383566,354.0,117.0,21.0,67.0,182.0,407.0,17.0,70.0
re001548OF,0.0033942464113731266,0.11031202083570166,67.0,22.0,176.0,362.0,110.0,135.0,346.0,388.0
re001549OF,0.0032122963995126616,0.1307753579765975,68.0,76.0,174.0,203.0,122.0,138.0,347.0,387.0
re001550OF,0.005293147208116033,0.3253713482906293,224.0,57.0,206.0,246.0,235.0,52.0,322.0,195.0
re001551OF,0.005104984451772168,0.3428124163156877,223.0,79.0,204.0,217.0,241.0,53.0,323.0,196.0
re001552OF,0.009763343822451497,0.06290191134250195,204.0,65.0,416.0,255.0,292.0,130.0,20.0,203.0
re001553OF,0.00957256783114548,0.06811790994536208,203.0,50.0,417.0,202.0,298.0,131.0,19.0,204.0
re001577OF,0.0023786608337478844,0.589192913284913,210.0,357.0,348.0,213.0,135.0,353.0,180.0,242.0
re001588OF,0.0031750615050449285,0.022442688995483316,17.0,25.0,266.0,371.0,218.0,173.0,186.0,428.0
re001589OF,0.0029911040217295137,0.03150493804013509,16.0,71.0,265.0,272.0,230.0,175.0,185.0,429.0
re001592OF,0.004766399483704107,0.410880319485607,237.0,100.0,103.0,37.0,356.0,330.0,128.0,173.0
re001593OF,0.004571355323764518,0.43056933364809,238.0,37.0,102.0,137.0,362.0,332.0,129.0,172.0
re001594OF,0.0038854974568268957,0.1037663028636822,83.0,10.0,346.0,353.0,256.0,256.0,403.0,363.0
re001595OF,0.0037044930634412537,0.12088682117615246,84.0,34.0,345.0,131.0,263.0,257.0,404.0,362.0
re001605OF,0.010338768014624727,0.039249680037671916,264.0,21.0,222.0,295.0,13.0,316.0,265.0,215.0
re001616OF,0.008803732162606439,0.3381966013021499,383.0,123.0,76.0,47.0,123.0,390.0,103.0,58.0
re001617OF,0.005167710038004356,0.5941623371215128,367.0,18.0,356.0,426.0,208.0,419.0,22.0,47.0
re001618OF,0.004985005452859322,0.6072225443199132,368.0,74.0,355.0,226.0,216.0,420.0,23.0,48.0
re001626OF,0.005205563044584388,0.2673268574931418,213.0,144.0,179.0,187.0,111.0,205.0,105.0,231.0
re001628OF,0.002528970597716146,0.5880284825913319,192.0,326.0,90.0,350.0,193.0,105.0,143.0,234.0
